EPM_ID,LOCATION,TRAN_DATE,UNITS,TOTAL_RETAIL,CUSTOMER_ORDER_NO
2044025341,670,2020-05-11,1,59.97,88901912
2045095083,358,2020-05-09,1,89.98,88902962
2039844881,470,2020-05-05,1,38.49,88903869
2044708884,553,2020-05-11,1,44.98,88903869
2040353591,379,2020-05-12,1,74.98,88903943
2017873830,656,2020-05-11,1,59.98,88904461
2049524860,383,2020-05-11,1,99.97,88905523
2050282252,757,2020-05-12,1,69.97,88905691
2040186592,643,2020-05-12,1,57.97,88906352
2044462648,714,2020-05-11,1,52.49,88907175
2037114162,787,2020-05-12,1,41.99,88907281
2043739551,369,2020-05-11,1,48.99,88911493
2036231890,546,2020-05-12,1,34.99,88912097
2046292044,165,2020-05-06,1,67.48,88912616
2049285021,545,2020-05-12,1,69.97,88914320
2036172667,514,2020-05-07,1,55.99,88917802
2036172668,627,2020-05-07,1,55.99,88917802
2045810239,477,2020-05-05,1,39.97,88917802
2044040819,551,2020-05-09,1,44.98,88918035
2040187374,245,2020-05-11,1,69.97,88920518
2036162521,546,2020-05-12,1,37.48,88921119
2045523708,647,2020-05-11,1,44.98,88921644
2042396420,245,2020-05-11,1,99.97,88921923
2046120299,511,2020-05-12,1,82.48,88921923
2047629428,509,2020-05-11,1,56.99,88922151
2036901120,782,2020-05-11,1,52.49,88926705
2046606219,15,2020-05-12,1,44.97,88927079
2050084644,336,2020-05-06,1,89.98,88928680
2050948042,135,2020-05-12,1,39.97,88930488
2036901121,287,2020-05-11,1,52.49,88930845
2042870077,367,2020-05-11,1,41.99,88932337
2043854786,135,2020-05-12,1,49.97,88933150
2049200683,778,2020-05-06,1,48.98,88934625
2033729552,272,2020-05-07,1,37.48,88935227
2036162521,546,2020-05-12,1,37.48,88935227
2047313597,288,2020-05-07,1,39.98,88935227
2046801596,546,2020-05-12,1,34.99,88935245
2046801596,779,2020-05-09,1,34.99,88935245
2042865343,332,2020-05-11,1,79.97,88936543
2019637732,245,2020-05-11,1,54.97,88938108
2051268495,651,2020-05-11,1,79.97,88938322
2044949624,543,2020-05-11,1,34.98,88939811
2045334991,643,2020-05-12,1,59.97,88941612
2045312050,674,2020-05-12,1,44.98,88942817
2044457463,740,2020-05-11,1,59.97,88945681
2047093686,543,2020-05-11,1,50.99,88947379
2047109386,674,2020-05-11,1,79.97,88948152
2018043613,14,2020-05-06,1,157.48,88950442
2051079306,435,2020-05-11,1,49.97,88951171
2045108929,757,2020-05-06,1,49.97,88953178
2050287586,548,2020-05-11,1,49.97,88953178
2036901120,481,2020-05-11,2,104.98,88953516
2049375174,673,2020-05-11,1,39.97,88955416
2049359866,168,2020-05-11,1,49.97,88956155
2044666002,288,2020-05-11,1,57.97,88956724
2025805857,367,2020-05-11,1,38.49,88957206
2025805857,717,2020-05-09,1,38.49,88957206
2043805227,560,2020-05-11,1,45.49,88957434
2049236994,754,2020-05-08,1,69.97,88959545
2050287305,369,2020-05-11,1,59.97,88959545
2047328357,555,2020-05-12,1,59.97,88959636
2044265556,14,2020-05-09,1,39.19,88959720
2048847000,748,2020-05-11,1,89.97,88960214
2031699122,644,2020-05-12,1,54.97,88960485
2040187246,245,2020-05-11,1,59.97,88960688
2048725389,168,2020-05-07,1,20.99,88961275
2045928104,541,2020-05-11,1,34.99,88961688
2042944864,350,2020-05-11,1,38.99,88963623
2030051121,245,2020-05-11,1,37.48,88963871
2043728587,519,2020-05-07,1,41.99,88965353
2039437299,545,2020-05-12,1,172.97,88966375
2048448467,272,2020-05-11,1,89.97,88966959
2033729550,673,2020-05-12,1,37.48,88967233
2050287340,477,2020-05-11,1,59.97,88968726
2048833555,529,2020-05-11,1,49.97,88969472
2051809060,757,2020-05-11,1,36.97,88969583
2047078048,782,2020-05-12,1,38.49,88970228
2039274631,245,2020-05-11,1,74.98,88971357
2044193522,640,2020-05-11,1,39.97,88971514
